snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,terraform-aws-modules/iam/aws/6.6.1,terraform-aws-modules,iam,aws,385948684,False,https://github.com/terraform-aws-modules/terraform-aws-iam,2026-05-28T18:53:17.797008Z,6.6.1,Terraform module to create AWS IAM resources 🇺🇦
2026-07-13,terraform-aws-modules/vpc/aws/6.6.1,terraform-aws-modules,vpc,aws,197331388,False,https://github.com/terraform-aws-modules/terraform-aws-vpc,2026-04-02T20:22:11.071125Z,6.6.1,Terraform module to create AWS VPC resources 🇺🇦
2026-07-13,terraform-aws-modules/eks/aws/21.24.0,terraform-aws-modules,eks,aws,162656621,False,https://github.com/terraform-aws-modules/terraform-aws-eks,2026-06-24T20:14:55.84877Z,21.24.0,Terraform module to create Amazon Elastic Kubernetes (EKS) resources 🇺🇦
2026-07-13,terraform-aws-modules/security-group/aws/6.0.0,terraform-aws-modules,security-group,aws,137408648,False,https://github.com/terraform-aws-modules/terraform-aws-security-group,2026-06-03T13:53:49.075026Z,6.0.0,Terraform module to create AWS Security Group resources 🇺🇦
2026-07-13,terraform-aws-modules/rds-aurora/aws/10.3.0,terraform-aws-modules,rds-aurora,aws,81508013,False,https://github.com/terraform-aws-modules/terraform-aws-rds-aurora,2026-07-10T13:49:45.669966Z,10.3.0,Terraform module to create AWS RDS Aurora resources 🇺🇦
2026-07-13,terraform-aws-modules/rds/aws/7.2.0,terraform-aws-modules,rds,aws,69984328,False,https://github.com/terraform-aws-modules/terraform-aws-rds,2026-03-19T21:08:33.146732Z,7.2.0,Terraform module to create AWS RDS resources 🇺🇦
2026-07-13,terraform-aws-modules/alb/aws/10.5.0,terraform-aws-modules,alb,aws,52335650,False,https://github.com/terraform-aws-modules/terraform-aws-alb,2026-01-08T21:58:20.933639Z,10.5.0,Terraform module to create AWS Application/Network Load Balancer (ALB/NLB) resources 🇺🇦
2026-07-13,terraform-aws-modules/ec2-instance/aws/6.4.0,terraform-aws-modules,ec2-instance,aws,50375883,False,https://github.com/terraform-aws-modules/terraform-aws-ec2-instance,2026-03-26T19:54:48.733191Z,6.4.0,Terraform module to create AWS EC2 instance(s) resources 🇺🇦
2026-07-13,terraform-aws-modules/sqs/aws/5.2.2,terraform-aws-modules,sqs,aws,49640410,False,https://github.com/terraform-aws-modules/terraform-aws-sqs,2026-05-29T17:00:12.57827Z,5.2.2,Terraform module to create AWS SQS resources 🇺🇦
2026-07-13,cloudposse/route53-cluster-hostname/aws/0.13.0,cloudposse,route53-cluster-hostname,aws,29252792,False,https://github.com/cloudposse/terraform-aws-route53-cluster-hostname,2023-05-17T09:08:09.830936Z,0.13.0,Terraform module to define a consistent AWS Route53 hostname
2026-07-13,terraform-aws-modules/ecs/aws/7.5.0,terraform-aws-modules,ecs,aws,28685788,False,https://github.com/terraform-aws-modules/terraform-aws-ecs,2026-03-18T20:29:46.832479Z,7.5.0,Terraform module to create AWS ECS resources 🇺🇦
2026-07-13,cloudposse/ssm-parameter-store/aws/0.13.0,cloudposse,ssm-parameter-store,aws,26005010,False,https://github.com/cloudposse/terraform-aws-ssm-parameter-store,2024-02-05T10:39:42.539778Z,0.13.0,Terraform module to populate AWS Systems Manager (SSM) Parameter Store with values from Terraform. Works great with Chamber.
