snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,Azure/naming/azurerm/0.4.3,Azure,naming,azurerm,18049307,False,https://github.com/Azure/terraform-azurerm-naming,2025-12-29T21:16:44.405591Z,0.4.3,
2026-07-13,claranet/regions/azurerm/8.0.5,claranet,regions,azurerm,7168848,False,https://github.com/claranet/terraform-azurerm-regions,2026-06-05T09:33:01.338051Z,8.0.5,Terraform module to handle Azure Regions
2026-07-13,Azure/avm-res-network-virtualnetwork/azurerm/0.19.0,Azure,avm-res-network-virtualnetwork,azurerm,5050145,True,https://github.com/Azure/terraform-azurerm-avm-res-network-virtualnetwork,2026-06-17T15:28:12.241738Z,0.19.0,
2026-07-13,Azure/avm-res-keyvault-vault/azurerm/0.10.2,Azure,avm-res-keyvault-vault,azurerm,3309009,True,https://github.com/Azure/terraform-azurerm-avm-res-keyvault-vault,2025-10-14T14:56:24.582041Z,0.10.2,Terraform Azure Verified Resource Module for Key Vault
2026-07-13,Azure/vnet/azurerm/5.0.1,Azure,vnet,azurerm,3275789,False,https://github.com/Azure/terraform-azurerm-vnet,2024-11-13T01:01:54.37234Z,5.0.1,Terraform module to create/provision Azure vnet 
2026-07-13,Azure/avm-res-network-networksecuritygroup/azurerm/0.5.1,Azure,avm-res-network-networksecuritygroup,azurerm,3264526,True,https://github.com/Azure/terraform-azurerm-avm-res-network-networksecuritygroup,2026-01-15T12:36:57.773907Z,0.5.1,Terraform Azure Verified Resource Module for Network Security Group
2026-07-13,Azure/avm-res-storage-storageaccount/azurerm/0.7.3,Azure,avm-res-storage-storageaccount,azurerm,3261139,True,https://github.com/Azure/terraform-azurerm-avm-res-storage-storageaccount,2026-06-24T16:06:13.703009Z,0.7.3,
2026-07-13,Azure/avm-res-compute-virtualmachine/azurerm/0.21.0,Azure,avm-res-compute-virtualmachine,azurerm,2830648,True,https://github.com/Azure/terraform-azurerm-avm-res-compute-virtualmachine,2026-06-06T02:34:20.106475Z,0.21.0,
2026-07-13,Azure/avm-utl-regions/azurerm/0.12.0,Azure,avm-utl-regions,azurerm,2740862,True,https://github.com/Azure/terraform-azurerm-avm-utl-regions,2026-03-13T16:11:47.949713Z,0.12.0,
2026-07-13,aztfmod/caf/azurerm/5.7.14,aztfmod,caf,azurerm,2485339,True,https://github.com/aztfmod/terraform-azurerm-caf,2024-09-12T07:04:57.48687Z,5.7.14,Terraform supermodule for the Terraform platform engineering for Azure
