snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,terraform-google-modules/project-factory/google/18.3.0,terraform-google-modules,project-factory,google,73914860,True,https://github.com/terraform-google-modules/terraform-google-project-factory,2026-06-25T05:16:02.09642Z,18.3.0,"Creates an opinionated Google Cloud project by using Shared VPC, IAM, and Google Cloud APIs"
2026-07-13,terraform-google-modules/network/google/18.1.2,terraform-google-modules,network,google,63473103,True,https://github.com/terraform-google-modules/terraform-google-network,2026-06-10T06:01:19.983124Z,18.1.2,Sets up a new VPC network on Google Cloud
2026-07-13,terraform-google-modules/kubernetes-engine/google/44.3.0,terraform-google-modules,kubernetes-engine,google,58770452,True,https://github.com/terraform-google-modules/terraform-google-kubernetes-engine,2026-07-06T16:42:26.043145Z,44.3.0,Configures opinionated GKE clusters
2026-07-13,terraform-google-modules/iam/google/8.2.0,terraform-google-modules,iam,google,54805116,True,https://github.com/terraform-google-modules/terraform-google-iam,2025-10-16T20:20:50.86725Z,8.2.0,Manages multiple IAM roles for resources on Google Cloud
2026-07-13,terraform-google-modules/gcloud/google/4.0.0,terraform-google-modules,gcloud,google,36513173,False,https://github.com/terraform-google-modules/terraform-google-gcloud,2025-09-15T20:10:28.113292Z,4.0.0,Executes Google Cloud CLI commands within Terraform
2026-07-13,terraform-google-modules/cloud-storage/google/12.3.0,terraform-google-modules,cloud-storage,google,30286793,False,https://github.com/terraform-google-modules/terraform-google-cloud-storage,2026-01-22T07:29:30.926779Z,12.3.0,Creates one or more Cloud Storage buckets and assigns basic permissions on them to arbitrary users
2026-07-13,terraform-google-modules/service-accounts/google/4.7.0,terraform-google-modules,service-accounts,google,22947116,False,https://github.com/terraform-google-modules/terraform-google-service-accounts,2026-01-19T04:04:09.995703Z,4.7.0,Creates one or more service accounts and grants them basic roles
2026-07-13,terraform-google-modules/vm/google/15.2.1,terraform-google-modules,vm,google,22180640,False,https://github.com/terraform-google-modules/terraform-google-vm,2026-06-05T16:24:28.074654Z,15.2.1,Provisions VMs in Google Cloud
2026-07-13,GoogleCloudPlatform/sql-db/google/28.2.0,GoogleCloudPlatform,sql-db,google,18030367,True,https://github.com/terraform-google-modules/terraform-google-sql-db,2026-05-29T09:35:53.185762Z,28.2.0,Creates a Cloud SQL database instance
2026-07-13,terraform-google-modules/cloud-router/google/9.0.0,terraform-google-modules,cloud-router,google,16284881,False,https://github.com/terraform-google-modules/terraform-google-cloud-router,2026-04-07T18:17:45.871774Z,9.0.0,Manages a Cloud Router on Google Cloud
2026-07-13,terraform-google-modules/container-vm/google/3.2.0,terraform-google-modules,container-vm,google,14900813,False,https://github.com/terraform-google-modules/terraform-google-container-vm,2024-09-24T15:03:54.62931Z,3.2.0,Deploys containers on Compute Engine instances
2026-07-13,terraform-google-modules/pubsub/google/8.7.0,terraform-google-modules,pubsub,google,14766798,False,https://github.com/terraform-google-modules/terraform-google-pubsub,2026-04-16T20:35:21.83753Z,8.7.0,Creates Pub/Sub topic and subscriptions associated with the topic
2026-07-13,terraform-google-modules/log-export/google/11.1.0,terraform-google-modules,log-export,google,13978562,True,https://github.com/terraform-google-modules/terraform-google-log-export,2025-09-12T03:20:39.432082Z,11.1.0,"Creates log exports at the project, folder, or organization level"
2026-07-13,terraform-google-modules/address/google/5.0.0,terraform-google-modules,address,google,13603847,False,https://github.com/terraform-google-modules/terraform-google-address,2026-02-05T11:34:38.962942Z,5.0.0,Manages Google Cloud IP addresses
2026-07-13,terraform-google-modules/cloud-dns/google/7.1.0,terraform-google-modules,cloud-dns,google,11873920,False,https://github.com/terraform-google-modules/terraform-google-cloud-dns,2026-02-02T04:57:21.531952Z,7.1.0,Creates and manages Cloud DNS public or private zones and their records
2026-07-13,terraform-google-modules/bigquery/google/10.2.1,terraform-google-modules,bigquery,google,11267660,False,https://github.com/terraform-google-modules/terraform-google-bigquery,2025-10-01T04:20:00.810263Z,10.2.1,Creates opinionated BigQuery datasets and tables
2026-07-13,terraform-google-modules/kms/google/4.1.2,terraform-google-modules,kms,google,11088787,False,https://github.com/terraform-google-modules/terraform-google-kms,2026-01-27T15:29:38.531919Z,4.1.2,"Allows managing a keyring, zero or more keys in the keyring, and IAM role bindings on individual keys"
2026-07-13,GoogleCloudPlatform/lb-http/google/14.2.0,GoogleCloudPlatform,lb-http,google,10941296,True,https://github.com/terraform-google-modules/terraform-google-lb-http,2026-01-15T00:10:36.13339Z,14.2.0,Creates a global HTTP load balancer for Compute Engine by using forwarding rules
