repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v6.6.1,5b962b1163790398605f2b17447cf5b6cc512237
terraform-aws-modules/terraform-aws-iam,v6.6.0,1d73bcb359419e1b41872ac5ccaf8808b8f1150e
terraform-aws-modules/terraform-aws-iam,v6.5.0,981121bcd17618b8ed032223c0d9e647b9277ef9
terraform-aws-modules/terraform-aws-iam,v6.4.0,277e8947b1267290988e47882d8dc116850929be
terraform-aws-modules/terraform-aws-iam,v6.3.0,581bec52db8ad843eeb8e6ae1103aaeec9787c41
terraform-aws-modules/terraform-aws-iam,v6.2.3,7279fc444aed7e36c60438b46972e1611e48984c
terraform-aws-modules/terraform-aws-iam,v6.2.2,f336f09c9a2b1fe31fe70fcf89af13ce640328fd
terraform-aws-modules/terraform-aws-iam,v6.2.1,dc7a9f3bed20aaaba05d151b0789745070424b3a
terraform-aws-modules/terraform-aws-iam,v6.2.0,677a92189253042a93de2df2f5cf2d3bcab9ad37
terraform-aws-modules/terraform-aws-iam,v6.1.2,03d1b49d58a72afa1a4cb9369f49ef7ef38b8ff7
terraform-aws-modules/terraform-aws-iam,v6.1.1,3c66adc7d289ec75306030ab9777d7c1c2ec26cf
terraform-aws-modules/terraform-aws-iam,v6.1.0,1ed6f73cd012c27050f461836bbb72785f138f41
terraform-aws-modules/terraform-aws-iam,v6.0.1,8b2ab9d0748c01bc8244882e184cc7b342fd7fef
terraform-aws-modules/terraform-aws-iam,v6.0.0,4d779a5254223d5b64391ac0af7291b158141d71
terraform-aws-modules/terraform-aws-iam,v5.60.0,c29ec1ed409683086f63f83ff5b10a6f3c296ef2
terraform-aws-modules/terraform-aws-iam,v5.59.0,0792d7f2753c265e3d610a58348fa1c551cbe4b8
terraform-aws-modules/terraform-aws-iam,v5.58.0,a787dce9c2b493398450af3efc21d6da44fad790
terraform-aws-modules/terraform-aws-iam,v5.57.0,453e9d639fcde4cac2843cabb013d27eac4ef3b1
